"StockName","TotalScore","AverageStability","AverageGrowth","DailyStability","WeeklyStability","Growth15Session","Growth30Session","Growth100Session","Growth200Session"
"BLBLIMITE.NS","77.84729681346224","114.02792696025779","41.66666666666667","56.12244897959184","152.63157894736844","50.0","33.333333333333336","0.0","0.0"
"HEXATRADE.NS","77.76315789473685","100.52631578947368","55.0","51.31578947368421","133.33333333333334","60.0","50.0","0.0","0.0"
"KOPRAN.NS","77.73809523809524","87.61904761904762","67.85714285714286","54.76190476190476","109.52380952380952","50.0","71.42857142857143","50.0","100.0"
"TVSMOTOR.NS","77.73809523809524","87.61904761904762","67.85714285714286","47.61904761904761","114.28571428571428","42.85714285714286","28.571428571428573","100.0","100.0"
"MVL.NS","77.61628709454796","85.39130434782608","69.84126984126983","50.43478260869565","108.69565217391303","42.85714285714286","66.66666666666667","100.0","0.0"
"SINTEX.NS","77.59523809523809","94.47619047619047","60.714285714285715","50.476190476190474","123.80952380952381","35.714285714285715","57.142857142857146","50.0","100.0"
"FINCABLES.NS","77.5","94.28571428571428","60.714285714285715","50.0","123.80952380952381","50.0","42.85714285714286","50.0","100.0"
"XLENERGY.NS","77.49819624819625","96.26623376623377","58.730158730158735","63.392857142857146","118.18181818181819","42.85714285714286","33.333333333333336","100.0","0.0"
"MANGALAM.NS","77.35507246376812","113.04347826086956","41.66666666666667","57.60869565217391","150.0","50.0","33.333333333333336","0.0","0.0"
"IOLCP.NS","77.31884057971014","104.63768115942028","50.0","53.26086956521739","138.88888888888889","33.333333333333336","66.66666666666667","0.0","0.0"
"ALEMBICLT.NS","77.25","92.0","62.5","58.57142857142857","114.28571428571428","57.142857142857146","42.85714285714286","50.0","100.0"
"STEL.NS","77.12534656354882","88.79614767255217","65.45454545454545","50.56179775280899","114.28571428571429","36.36363636363637","60.0","100.0","0.0"
"BECREL.NS","76.98189134808854","103.96378269617706","50.0","56.33802816901408","135.71428571428572","50.0","50.0","0.0","0.0"
"NEXTMEDIA.NS","76.7694904849601","97.98342541436465","55.555555555555564","57.45856353591161","125.0","33.333333333333336","33.333333333333336","100.0","0.0"
"IRB.NS","76.73809523809524","92.76190476190476","60.714285714285715","53.33333333333333","119.04761904761905","50.0","42.85714285714286","50.0","100.0"
"TFL.NS","76.60493827160494","98.20987654320987","55.0","58.02469135802469","125.0","60.0","50.0","0.0","0.0"
"MICROSEC.NS","76.34482102056359","93.07425742574257","59.61538461538461","56.43564356435643","117.5","38.46153846153846","50.0","50.0","100.0"
"V2RETAIL.NS","76.3305709023941","94.32780847145487","58.333333333333336","52.48618784530387","122.22222222222221","41.66666666666667","33.333333333333336","100.0","0.0"
"LGBBROSLT.NS","76.30952380952381","91.90476190476191","60.714285714285715","47.61904761904761","121.42857142857143","50.0","42.85714285714286","50.0","100.0"
"SRF.NS","76.1547619047619","82.66666666666666","69.64285714285714","42.38095238095238","109.52380952380952","50.0","28.571428571428573","100.0","100.0"
"BANARBEAD.NS","76.09756097560975","77.1951219512195","75.0","80.48780487804878","75.0","50.0","100.0","0.0","0.0"
"KICL.NS","75.98501461988305","96.41447368421053","55.555555555555564","51.56250000000001","126.31578947368422","33.333333333333336","33.333333333333336","100.0","0.0"
"RBL.NS","75.94416888643948","87.99944888399008","63.88888888888889","50.261780104712045","113.15789473684211","41.66666666666667","50.0","100.0","0.0"
"ORIENTPPR.NS","75.89285714285714","92.85714285714286","58.92857142857143","50.0","121.42857142857143","42.85714285714286","42.85714285714286","50.0","100.0"
"IGARASHI.NS","75.76190476190476","87.23809523809523","64.28571428571428","53.8095238095238","109.52380952380952","28.571428571428573","28.571428571428573","100.0","100.0"
"AARTIDRUG.NS","75.66897111014758","87.44905333140628","63.88888888888889","52.406417112299465","110.8108108108108","41.66666666666667","50.0","100.0","0.0"
"MAHINDUGI.NS","75.5786783497627","86.30887185104052","64.84848484848486","47.59036144578314","112.12121212121212","54.54545454545455","40.0","100.0","0.0"
"INDLMETER.NS","75.54783950617283","104.42901234567901","46.666666666666664","64.19753086419753","131.25","20.0","20.0","100.0","0.0"
"RANEHOLDI.NS","74.95813733220945","84.21114645929067","65.7051282051282","45.893719806763286","109.7560975609756","46.15384615384615","66.66666666666667","50.0","100.0"
"COUNCODOS.NS","74.89842132505176","106.46350931677019","43.333333333333336","64.59627329192546","134.375","50.0","80.0","0.0","0.0"
"LPDC.NS","74.80480480480482","94.05405405405406","55.555555555555564","64.86486486486487","113.51351351351352","33.333333333333336","33.333333333333336","100.0","0.0"
"SONASTEER.NS","74.78571428571428","96.0","53.57142857142857","54.285714285714285","123.80952380952381","35.714285714285715","28.571428571428573","50.0","100.0"
"GKB.NS","74.61764705882354","104.23529411764706","45.0","75.29411764705883","123.52941176470588","40.0","50.0","0.0","0.0"
"BIRLAERIC.NS","74.55105105105105","96.32432432432432","52.77777777777778","50.270270270270274","127.02702702702702","41.66666666666667","16.666666666666668","100.0","0.0"
"NEPCMICON.NS","74.49551414768806","90.26086956521738","58.730158730158735","62.608695652173914","108.69565217391303","42.85714285714286","33.333333333333336","100.0","0.0"
"CENTUM.NS","74.47330447330447","85.45454545454545","63.492063492063494","50.0","109.0909090909091","57.142857142857146","33.333333333333336","100.0","0.0"
"EIMCOELEC.NS","74.46204797708558","90.59076262083781","58.333333333333336","44.89795918367347","121.05263157894737","50.0","66.66666666666667","0.0","0.0"
"JKTYRE.NS","74.42857142857143","91.71428571428572","57.142857142857146","54.285714285714285","116.66666666666667","35.714285714285715","42.85714285714286","50.0","100.0"
"CUBEXTUB.NS","74.38596491228071","82.10526315789474","66.66666666666667","63.1578947368421","94.73684210526316","66.66666666666667","66.66666666666667","0.0","0.0"
"PARACABLE.NS","74.32844932844934","87.54578754578756","61.111111111111114","52.197802197802204","111.11111111111111","33.333333333333336","50.0","100.0","0.0"
"CEATLTD.NS","74.29761904761904","86.09523809523809","62.5","50.95238095238095","109.52380952380952","42.85714285714286","57.142857142857146","50.0","100.0"
"ALICON.NS","74.12948717948719","98.9","49.35897435897436","63.5","122.5","30.76923076923077","16.666666666666668","50.0","100.0"
"SAKSOFT.NS","74.08598897861887","88.87710616236596","59.294871794871796","50.2415458937198","114.6341463414634","53.84615384615385","33.333333333333336","50.0","100.0"
